colname,coef,ampe,mpe_std,t_value,p_value,lower_0.025,upper_0.975,significant
worst concavity,-1.350140985383566,-0.046995722169343064,0.089856119012119,-10.420916692660139,6.11398343301824e-23,-0.055861697381154964,-0.038129746957531165,*
worst compactness,-0.7340556350796422,-0.025551016565313014,0.04885370581391124,-10.420916692660127,6.11398343301894e-23,-0.030371342098100274,-0.020730691032525755,*
worst symmetry,-0.7182036107375248,-0.024999239128831324,0.0477987038539021,-10.420916692660134,6.113983433018546e-23,-0.029715469121674415,-0.020283009135988232,*
mean concavity,-0.518212474231162,-0.018037945464441107,0.034488666192776365,-10.420916692660136,6.113983433018548e-23,-0.02144089300897472,-0.014634997919907496,*
worst concave points,-0.49987124360215185,-0.017399523708330995,0.03326799974381226,-10.42091669266013,6.113983433018722e-23,-0.020682029833878478,-0.014117017582783513,*
worst texture,-0.49895806328786646,-0.01736773771797498,0.033207224728544746,-10.42091669266014,6.11398343301824e-23,-0.020644247259374568,-0.01409122817657539,*
mean perimeter,-0.3882275236414342,-0.01351342788424546,0.025837759867866305,-10.420916692660143,6.113983433018108e-23,-0.016062802829833252,-0.010964052938657669,*
mean concave points,-0.277048865623977,-0.009643519941361653,0.018438471323502757,-10.420916692660146,6.113983433017932e-23,-0.011462817630769227,-0.00782422225195408,*
worst smoothness,-0.2744445896379967,-0.009552870274390281,0.018265148585011007,-10.420916692660139,6.11398343301824e-23,-0.011355066456187626,-0.007750674092592935,*
mean compactness,-0.2430473026268581,-0.00845999316509535,0.016175560616885555,-10.420916692660139,6.11398343301824e-23,-0.010056012679883496,-0.006863973650307203,*
mean symmetry,-0.2193896673821535,-0.007636517939041135,0.01460107075908041,-10.420916692660139,6.11398343301824e-23,-0.009077184783315359,-0.006195851094766913,*
area error,-0.14105927506759897,-0.004909992787606928,0.009387937367619802,-10.420916692660137,6.113983433018414e-23,-0.005836287189217285,-0.003983698385996571,*
mean smoothness,-0.13678952795201677,-0.004761371383361321,0.009103772299584032,-10.420916692660139,6.11398343301824e-23,-0.0056596276226632426,-0.0038631151440594006,*
radius error,-0.12070688404330863,-0.00420156653848625,0.008033421883786638,-10.420916692660136,6.113983433018548e-23,-0.004994212827583974,-0.0034089202493885256,*
worst fractal dimension,-0.10071549792907082,-0.0035057061522186057,0.0067029324094686265,-10.420916692660137,6.113983433018414e-23,-0.004167074940923851,-0.002844337363513361,*
concavity error,-0.06738616286673368,-0.0023455782932501946,0.00448476058120927,-10.420916692660143,6.113983433018108e-23,-0.0027880832287076208,-0.0019030733577927684,*
worst perimeter,-0.05525520764861728,-0.0019233238714889142,0.0036774074472696455,-10.420916692660137,6.113983433018414e-23,-0.00228616842375394,-0.001560479319223889,*
symmetry error,-0.044981737425662464,-0.0015657248077319977,0.002993675768122796,-10.420916692660132,6.113983433018723e-23,-0.0018611065295799992,-0.0012703430858839963,*
mean fractal dimension,-0.03846588394721636,-0.0013389209086694075,0.0025600252738683387,-10.420916692660136,6.113983433018548e-23,-0.0015915149542309287,-0.0010863268631078862,*
concave points error,-0.035416064480640004,-0.001232762759357944,0.0023570502187289606,-10.42091669266015,6.113983433017799e-23,-0.0014653295454821957,-0.0010001959732336924,*
smoothness error,-0.01822829907135938,-0.000634490833217637,0.001213150499448948,-10.420916692660139,6.11398343301824e-23,-0.0007541906641758487,-0.0005147910022594252,*
worst area,-0.011602216616619282,-0.00040385008274396834,0.000772163920948708,-10.420916692660159,6.113983433017318e-23,-0.00048003839643759,-0.00032766176905034666,*
fractal dimension error,0.0005725940322454059,1.993085932991222e-05,3.810792951556493e-05,10.420916692660125,0.0,1.617080423101678e-05,2.3690914428807664e-05,*
compactness error,0.005354649935098883,0.000186384713439765,0.0003563687548525088,10.420916692660132,0.0,0.00015122231624831184,0.00022154711063121816,*
mean area,0.025765989603310717,0.0008968628476020718,0.0017148074559060714,10.420916692660134,0.0,0.0007276652396457016,0.001066060455558442,*
worst radius,0.05931509640632929,0.0020646405237211007,0.003947605783101437,10.42091669266013,0.0,0.001675135886710657,0.0024541451607315444,*
mean texture,0.2252566858107659,0.00784073718060068,0.014991539244871847,10.42091669266015,0.0,0.006361543367277709,0.009319930993923652,*
perimeter error,0.4095831291866206,0.014256774035369478,0.027259042425923734,10.420916692660144,0.0,0.011567163165202992,0.016946384905535964,*
mean radius,1.0780524498745723,0.03752486145281471,0.07174777322215428,10.42091669266014,0.0,0.030445610914467642,0.04460411199116177,*
texture error,1.3394586282643308,0.04662389056603339,0.08914517462703078,10.420916692660137,0.0,0.03782806322355378,0.055419717908512994,*
